"","Year","Month","Total_Rain","Total_Snow","Total_Precip","Salinity","Temperature","outbreak","PAR","WSPD","GSPD","V_east","V_north","WDIR"
"185","2018","5",8.39,0,8.39,26.08,14.36,0,52.74,3.93,4.75,-0.63,0.13,-78.34
"186","2018","6",60.34,0,60.34,24.68,15.09,0,44.49,4.51,5.46,0.38,-0.47,141.04
"187","2018","7",9.55,0,9.55,26.12,17.83,0,56.81,4.42,5.29,-2.07,1.2,-59.9
"188","2018","8",8.11,0,8.11,26.83,18.07,0,46.47,3.62,4.36,-1.01,0.5,-63.66
"189","2018","9",162.54,0,162.54,27.99,13.99,0,27.78,4.52,5.45,0.62,-0.18,106.19
"190","2018","10",92.89,0,92.89,28.59,11.72,0,18.21,4.05,4.94,0.53,0.17,72.22
"191","2018","11",174.19,0,174.19,28.23,9.95,0,7.6,4.68,5.79,1.87,-0.55,106.39
"192","2018","12",276.85,0.03,276.88,27.19,8.5,0,4.49,6.75,8.33,3.49,-0.88,104.15
"193","2019","1",200.61,1.89,202.5,27.22,7.82,0,6.13,4.75,5.92,2.14,-0.73,108.84
"194","2019","2",27.23,45.22,72.46,28.32,6.78,0,14.22,4.9,6.22,-0.27,0.83,-18.02
"195","2019","3",11.41,0.74,12.15,28.97,8.09,0,29.41,3.75,4.56,0.06,0.27,12.53
"196","2019","4",83.85,0,83.85,28.64,9.85,0,34.21,5.54,6.71,0.35,-0.03,94.9
"197","2019","5",22.2,0,22.2,28.6,13.34,0,52.08,4.55,5.46,-1.11,0.75,-55.95
"198","2019","6",25.43,0,25.43,25.65,16.39,0,54.37,4.56,5.51,-0.76,0.5,-56.66
"199","2019","7",40.18,0,40.18,26.34,17.24,0,48.58,4.3,5.15,0.79,-0.91,139.04
"200","2019","8",30.87,0,30.87,25.93,17.76,0,44.43,4.51,5.4,0.26,-0.74,160.64
"201","2019","9",108.11,0,108.11,27.53,14.53,0,26.95,4.85,5.88,1.16,-0.37,107.69
"202","2019","10",106.97,0,106.97,27.91,11.59,0,15.56,4.99,6.13,0.99,-0.05,92.89
"203","2019","11",90.84,0,90.84,28.23,9.84,0,9.12,3.75,4.67,0.03,0.65,2.64
"204","2019","12",149.75,0,149.75,28.55,8.63,0,3.5,5.71,6.99,3.38,-0.89,104.75
