"","Date","Year","Month","Day","Total_Rain","Total_Snow","Total_Precip","outbreak","Salinity","Temperature","PAR","WSPD","GSPD","V_east","V_north","WDIR"
"90",2003-03-31,"2003","3",31,2,0,2,0,28.5,8.93,17.4568078377851,5.73,7.14,2.59,-1.38,118.05
"91",2003-04-01,"2003","4",1,6.3,0,6.3,0,28.23,8.63,27.3186811512224,4.92,6.08,0.14,-0.78,169.82
"92",2003-04-02,"2003","4",2,1.96,0,1.96,0,29.45,8.5,32.6985468613474,6.14,7.73,4.36,-0.98,102.67
"93",2003-04-03,"2003","4",3,0.17,0,0.17,0,29.5,8.5,31.4784508353785,4.36,5.4,2.44,-0.08,91.88
"94",2003-04-04,"2003","4",4,1.19,0,1.19,0,29.4,8.55,38.4288801408502,3.8,4.87,-2.12,2.08,-45.55
"95",2003-04-05,"2003","4",5,6.41,0,6.41,0,27.4,8.23,15.8513494260006,6.53,8.06,4.11,-3.46,130.09
"96",2003-04-06,"2003","4",6,5.11,0,5.11,0,27.47,8.2,28.3848970383013,5.94,7.27,4.69,-2.04,113.51
"97",2003-04-07,"2003","4",7,26.34,0,26.34,0,27.53,8.23,10.3718063224332,11.47,13.97,9.37,-5.4,119.96
"98",2003-04-08,"2003","4",8,22.71,0,22.71,0,27.8,8.43,8.46876433854381,11.43,13.87,9.52,-5.44,119.74
"99",2003-04-09,"2003","4",9,0.03,0,0.03,0,26.33,8.37,35.2417676835784,4.63,5.82,2.02,-2.85,144.67
"100",2003-04-10,"2003","4",10,1.1,0,1.1,0,25.3,8.07,29.3490420313958,4,4.93,2.56,-2.5,134.32
"101",2003-04-11,"2003","4",11,3.69,0,3.69,0,26.6,8.8,21.1707062909478,6.36,7.82,3.71,-4.2,138.54
"102",2003-04-12,"2003","4",12,0.66,0,0.66,0,26.4,9.17,26.0604419633159,4.88,5.84,-3.36,2.01,-59.11
"103",2003-04-13,"2003","4",13,7.77,0,7.77,0,25.67,9.1,18.7704869857879,4.84,5.86,0.71,-0.75,136.57
"104",2003-04-14,"2003","4",14,1.2,0,1.2,0,27.03,9.23,31.1497011810463,6.38,7.56,5.24,-3.04,120.12
"105",2003-04-15,"2003","4",15,1.07,0,1.07,0,26.83,9.1,28.2744525352698,6.12,7.33,5.23,-2.69,117.22
"106",2003-04-16,"2003","4",16,6.44,0,6.44,0,27.4,8.9,19.4126862102919,6.12,7.52,4.81,-3.16,123.3
"107",2003-04-17,"2003","4",17,2.04,0,2.04,0,27.3,9.07,25.9379437806758,2.92,3.7,1.15,0.08,86.02
"108",2003-04-18,"2003","4",18,2.57,0,2.57,0,27.53,9,31.8075443812066,4.39,5.29,-0.38,-0.68,-150.8
"109",2003-04-19,"2003","4",19,1.66,0,1.66,0,27.17,9,21.7957627710872,8.12,9.76,6.78,-3.34,116.23
"110",2003-04-20,"2003","4",20,1.86,0,1.86,0,27.37,8.93,25.0131742467431,3.01,3.71,2.18,-1.19,118.63
"111",2003-04-21,"2003","4",21,0.07,0,0.07,0,27.27,9.3,35.9144503092953,6.5,7.68,-4.84,3.6,-53.36
"112",2003-04-22,"2003","4",22,3.13,0,3.13,0,26.47,9.4,47.2090299361021,5.37,6.36,-2.16,0.92,-66.93
"113",2003-04-23,"2003","4",23,9.1,0,9.1,0,27.8,9.63,18.0646829029394,8.48,10.2,5.53,-5.18,133.13
"114",2003-04-24,"2003","4",24,6.29,0,6.29,0,27.7,9.37,12.0889569826051,4.48,5.45,3.74,-1.6,113.16
"115",2003-04-25,"2003","4",25,0.21,0,0.21,0,27.9,9.67,49.5923210813113,1.72,2.29,0.2,0.22,42.27
"116",2003-04-26,"2003","4",26,0,0,0,0,27.63,10.8,46.593872833252,5.73,6.78,-3.86,2.41,-58.02
"117",2003-04-27,"2003","4",27,0,0,0,0,28.03,11.37,41.005232349195,3.93,4.69,2.91,-0.85,106.28
"118",2003-04-28,"2003","4",28,0,0,0,0,27.8,12.03,51.6253635765056,3.34,3.95,-2.4,1.52,-57.65
"119",2003-04-29,"2003","4",29,0,0,0,0,27.8,12.37,50.5362924283916,4.17,4.86,-3.44,1.43,-67.43
"120",2003-04-30,"2003","4",30,0,0,0,0,27.83,12.57,52.6071203341659,3.52,4.25,2.24,-1.44,122.74
"121",2003-05-01,"2003","5",1,0,0,0,0,26.95,12.6,52.9318394433884,2.04,2.6,-0.21,0.46,-24.54
"122",2003-05-02,"2003","5",2,0.1,0,0.1,0,27.5,12.8,51.4101846005904,3.2,3.97,-0.09,0.53,-9.64
"123",2003-05-03,"2003","5",3,1.9,0,1.9,0,27.3,11.85,26.5838446667854,5.73,6.89,3.18,-1.69,117.99
"124",2003-05-04,"2003","5",4,7.48,0,7.48,0,27.1,11.75,32.6455328470733,4.82,5.85,1.44,-1.03,125.58
"125",2003-05-05,"2003","5",5,0.12,0,0.12,0,26.8,11.2,48.1705347847125,5.59,6.81,-4.11,2.43,-59.41
"126",2003-05-06,"2003","5",6,0,0,0,0,26.45,11.15,54.6639926547096,3.66,4.52,-1.96,1.33,-55.84
"127",2003-05-07,"2003","5",7,1.41,0,1.41,0,26.75,11.65,31.7858085582131,4.76,5.86,0.07,0.87,4.6
"128",2003-05-08,"2003","5",8,0,0,0,0,26.9,11.9,54.8735217293208,4.84,5.76,-3.04,3.08,-44.63
"129",2003-05-09,"2003","5",9,0.03,0,0.03,0,26.7,12.2,52.3445983181397,3.41,4.2,-1.19,0.88,-53.52
"130",2003-05-10,"2003","5",10,0,0,0,0,26.1,13.25,55.6910960857685,2.79,3.49,1.58,-1.31,129.66
"131",2003-05-11,"2003","5",11,0,0,0,0,27.25,13,56.1915651156208,2.88,3.53,0.2,0.06,73.3
"132",2003-05-12,"2003","5",12,0,0,0,0,27.15,13.8,54.734311231478,3.87,4.79,-1.15,0.83,-54.18
"133",2003-05-13,"2003","5",13,1.39,0,1.39,0,26.9,13.3,27.5248023058239,5.12,6.19,2.74,-2.22,129.02
"134",2003-05-14,"2003","5",14,0.66,0,0.66,0,27.35,12.6,39.8451151597531,4.92,6.18,1.23,-0.36,106.31
"135",2003-05-15,"2003","5",15,1.64,0,1.64,0,27.55,11.95,32.7651495933533,4.58,5.9,-1.04,1.01,-45.84
"136",2003-05-16,"2003","5",16,4.97,0,4.97,0,26.9,11.95,30.5460204184055,3.33,4.48,-0.82,0.82,-45
"137",2003-05-17,"2003","5",17,0.18,0,0.18,0,26.5,12.3,50.5263977600018,4.94,6.3,-3.89,2.47,-57.59
"138",2003-05-18,"2003","5",18,0,0,0,0,25.7,11.85,57.3746603017091,4.4,5.54,-1.15,1.35,-40.43
"139",2003-05-19,"2003","5",19,0.05,0,0.05,0,25.75,12.15,45.8392496109009,3.8,4.62,2.06,-2.06,135
"140",2003-05-20,"2003","5",20,3.91,0,3.91,0,26.2,12.3,24.9480929537395,3.62,4.45,0.96,-0.58,121.14
"141",2003-05-21,"2003","5",21,5.1,0,5.1,0,26.25,12.05,30.5960584188762,5.72,6.65,4.65,-2.71,120.23
"142",2003-05-22,"2003","5",22,4.72,0,4.72,0,26,12,21.5930693218401,5.14,6.09,3.72,-3.02,129.07
"143",2003-05-23,"2003","5",23,1.64,0,1.64,0,26.5,12.05,26.9472912069391,4.17,4.99,2.73,-2.54,132.94
"144",2003-05-24,"2003","5",24,2.78,0,2.78,0,28.15,11.8,12.8199416364403,3.66,4.63,1.64,-1.54,133.2
"145",2003-05-25,"2003","5",25,0.07,0,0.07,0,26.8,12.55,53.9530223757029,4.5,5.51,0.22,-0.98,167.35
"146",2003-05-26,"2003","5",26,0.96,0,0.96,0,26.25,12.8,51.0714620776415,4.06,4.85,1.31,-1.45,137.9
"147",2003-05-27,"2003","5",27,0.36,0,0.36,0,25.75,13.35,37.4390743210812,3.97,4.94,1.71,-1.07,122.04
"148",2003-05-28,"2003","5",28,0,0,0,0,25.7,13.35,44.5959923879014,3.99,4.94,-0.81,-0.34,-112.77
"149",2003-05-29,"2003","5",29,0,0,0,0,26.1,13.7,60.6754713784366,4.54,5.5,-3.43,1.98,-60
"150",2003-05-30,"2003","5",30,0.1,0,0.1,0,25.55,14.65,39.094727184898,4.39,5.29,-2.97,1.79,-58.92
"151",2003-05-31,"2003","5",31,0.55,0,0.55,0,25.3,14.3,45.8914416112398,6.25,7.55,4.99,-3.43,124.5
"152",2003-06-01,"2003","6",1,0.75,0,0.75,0,27.03,13.17,33.182809588148,4.29,5.13,1.72,-0.55,107.73
"153",2003-06-02,"2003","6",2,0,0,0,0,27,13.4,60.5997427789789,7.1,8.54,-4.97,4.34,-48.87
"154",2003-06-03,"2003","6",3,0,0,0,0,27.23,13.63,61.5941672237526,6.72,7.87,-4.91,3.79,-52.34
"155",2003-06-04,"2003","6",4,0,0,0,0,26.7,13.8,61.7725904970344,5.62,6.52,-4.19,2.26,-61.66
"156",2003-06-05,"2003","6",5,0,0,0,0,26.33,15.13,61.9129906892776,5.08,5.92,-3.86,1.84,-64.51
"157",2003-06-06,"2003","6",6,0,0,0,0,26.57,15.73,61.4973375119661,4.82,5.56,-4.03,1.98,-63.83
"158",2003-06-07,"2003","6",7,0,0,0,0,26.87,16.43,62.3431894001208,7.08,8.27,-5,3.82,-52.62
"159",2003-06-08,"2003","6",8,0,0,0,0,28.03,16.6,62.1132460014005,8.84,10.64,-5.38,5.47,-44.52
"160",2003-06-09,"2003","6",9,0,0,0,0,27.83,16.43,62.3102962563983,5.08,6.1,-2.68,2.45,-47.57
"161",2003-06-10,"2003","6",10,0.05,0,0.05,0,27.9,16.87,62.0856422004899,3.91,4.75,1.69,-0.9,118.04
"162",2003-06-11,"2003","6",11,0,0,0,0,27.73,16.4,46.2789748425179,4.76,5.61,3.22,-2.71,130.08
"163",2003-06-12,"2003","6",12,3.09,0,3.09,0,28.05,14.65,25.9493802912095,5.58,6.56,4.43,-3.19,125.76
"164",2003-06-13,"2003","6",13,0.16,0,0.16,0,28.13,14.7,47.1468998516013,6.11,7.47,3.79,-3.65,133.92
"165",2003-06-14,"2003","6",14,0.51,0,0.51,0,28.2,13.07,24.9751655116994,7.21,8.68,4.18,-5.2,141.21
"166",2003-06-15,"2003","6",15,0,0,0,0,28.57,13.57,58.5948806561922,3.3,4.06,2.29,-1.53,123.75
"167",2003-06-16,"2003","6",16,0,0,0,0,28.37,14.47,58.9032591963953,1.73,2.19,-1.03,0.62,-58.95
"168",2003-06-17,"2003","6",17,0,0,0,0,27.7,14.97,57.6375341465336,1.95,2.45,-1.33,0.68,-62.92
"169",2003-06-18,"2003","6",18,0,0,0,0,26.8,15.33,50.7758070728766,4.6,5.66,-0.38,1.99,-10.81
"170",2003-06-19,"2003","6",19,1.25,0,1.25,0,27.05,16.1,53.4892072801466,4.54,5.54,-2.29,1.56,-55.74
"171",2003-06-20,"2003","6",20,1.01,0,1.01,0,24.1,15.63,35.395293583027,6.14,7.36,-3.97,2.34,-59.48
"172",2003-06-21,"2003","6",21,1.05,0,1.05,0,24.63,15.63,53.435706402882,3.9,4.83,-2,1.51,-52.95
"173",2003-06-22,"2003","6",22,0.15,0,0.15,0,23.93,15.83,38.5934327260362,3.92,4.81,-0.15,-0.2,-143.13
"174",2003-06-23,"2003","6",23,0,0,0,0,24.43,16.27,59.3008236922617,3.22,3.96,-1.69,1.18,-55.08
"175",2003-06-24,"2003","6",24,0,0,0,0,24.8,17.63,62.1962478597751,2.42,2.94,0.3,-0.3,135
"176",2003-06-25,"2003","6",25,0,0,0,0,25.53,18.57,61.9629449743974,3.03,3.64,0.36,-0.4,138.01
"177",2003-06-26,"2003","6",26,0,0,0,0,26,18.17,60.7499156561423,3.21,3.95,-0.52,0.57,-42.37
"178",2003-06-27,"2003","6",27,0,0,0,0,25.73,18.57,62.6246964245799,7.14,8.44,-5.2,3.48,-56.21
"179",2003-06-28,"2003","6",28,0,0,0,0,24.43,19.73,62.6081853250819,3.2,3.84,-1.03,0.84,-50.8
"180",2003-06-29,"2003","6",29,4.41,0,4.41,0,25.1,18.63,34.3572942046669,4.18,5.06,-2.22,1.65,-53.38
"181",2003-06-30,"2003","6",30,2.84,0,2.84,0,25.63,17.17,40.6676777733697,4.58,5.89,1.22,-0.56,114.66
"182",2003-07-01,"2003","7",1,0.72,0,0.72,0,26.87,17.27,56.5531922809741,4.42,5.43,-2.87,1.67,-59.81
"183",2003-07-02,"2003","7",2,0,0,0,0,25.8,17.63,50.4184059354435,3.32,4.22,-1.05,0.83,-51.67
"184",2003-07-03,"2003","7",3,0,0,0,0,26.2,17.53,61.7563668495698,3.24,3.92,-1.1,1.39,-38.36
"185",2003-07-04,"2003","7",4,0.38,0,0.38,0,25.9,17.8,34.0409471653501,3.83,4.52,0.94,0.13,82.13
"186",2003-07-05,"2003","7",5,0,0,0,0,25.63,17.57,61.8569608401758,4.84,5.83,-3.49,2.38,-55.71
"187",2003-07-06,"2003","7",6,0,0,0,0,24.77,18.23,61.6142938952863,4.63,5.47,-2.34,2.6,-41.99
"188",2003-07-07,"2003","7",7,0,0,0,0,24.57,18.83,49.6834746179008,3.28,3.9,1.15,-0.71,121.69
"189",2003-07-08,"2003","7",8,0.1,0,0.1,0,24.97,18.47,30.4931947748604,5.18,6.39,1.24,0.55,66.08
"190",2003-07-09,"2003","7",9,0,0,0,0,25.73,19.3,56.8517173189407,3.21,3.93,2.37,-1.04,113.69
"191",2003-07-10,"2003","7",10,0,0,0,0,26.33,20.23,52.3347245731802,2.95,3.52,-2.18,1.11,-63.02
"192",2003-07-11,"2003","7",11,0,0,0,0,27.5,18.4,60.6197441603008,3.39,4.06,0.86,-0.62,125.79
"193",2003-07-12,"2003","7",12,3.44,0,3.44,0,27.9,15.8,19.4391339055552,5.61,6.8,3.63,-3.06,130.13
"194",2003-07-13,"2003","7",13,6.19,0,6.19,0,28.27,14.73,20.9732075995694,7.62,9.25,5.11,-5.16,135.28
"195",2003-07-14,"2003","7",14,1.43,0,1.43,0,28.4,14.73,40.8199183038258,7.84,9.42,6.31,-3.84,121.32
"196",2003-07-15,"2003","7",15,0.03,0,0.03,0,28.93,14.73,55.8012849161865,3.24,3.92,0.49,-0.56,138.81
"197",2003-07-16,"2003","7",16,0.17,0,0.17,0,28.47,14.63,44.6414980638714,4.38,5.26,1.76,-1.26,125.6
"198",2003-07-17,"2003","7",17,0,0,0,0,27.13,15.03,59.971367324026,4.24,5.11,-2.2,1.88,-49.48
"199",2003-07-18,"2003","7",18,0,0,0,0,25.07,16.57,56.8161962709929,3.1,3.72,-1.95,1.47,-52.99
"200",2003-07-19,"2003","7",19,0.86,0,0.86,0,22.47,18.5,28.0132775019601,2.4,2.9,-1.16,0.66,-60.36
"201",2003-07-20,"2003","7",20,0,0,0,0,23.2,18.67,39.1621051757974,4.47,5.41,1.76,-1.92,137.49
"202",2003-07-21,"2003","7",21,0,0,0,0,24.27,19.63,59.1384304377038,2.61,3.13,-1.28,1.52,-40.1
"203",2003-07-22,"2003","7",22,0,0,0,0,24.37,20.07,59.0841749682034,6.38,7.43,-2.95,5.55,-27.99
"204",2003-07-23,"2003","7",23,0,0,0,0,24.97,20.47,58.8750504629953,4.31,5.21,-2.01,3.6,-29.18
"205",2003-07-24,"2003","7",24,0,0,0,0,25.2,19.8,58.4653732782933,5.78,6.86,-4.02,3.27,-50.87
"206",2003-07-25,"2003","7",25,0,0,0,0,24.63,19.87,48.5256161777829,4.84,5.65,-3.58,2.42,-55.94
"207",2003-07-26,"2003","7",26,0,0,0,0,24.97,19.97,57.8425880651824,3.8,4.48,0.01,-0.19,176.99
"208",2003-07-27,"2003","7",27,0,0,0,0,25.07,20.2,57.6587531579235,5.22,6.19,-3.02,2.8,-47.16
"209",2003-07-28,"2003","7",28,0,0,0,0,26.13,20.1,57.3490932937662,6.6,7.66,-4.77,3.45,-54.12
"210",2003-07-29,"2003","7",29,0,0,0,0,26.43,19.77,57.0734477561728,5.12,5.9,-4.08,2.36,-59.95
